código,nombre
3017C8,Sony Mobile Communications Inc
0012EE,Sony Mobile Communications Inc
001620,Sony Mobile Communications Inc
001963,Sony Mobile Communications Inc
001FE4,Sony Mobile Communications Inc
205476,Sony Mobile Communications Inc
001A80,Sony Corporation
B07994,Motorola Mobility LLC
A470D6,Motorola Mobility LLC
C46699,vivo Mobile Communication Co.
C8F230,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
8C0EE3,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
48AD08,HUAWEI TECHNOLOGIES CO.
4CFB45,HUAWEI TECHNOLOGIES CO.
009ACD,HUAWEI TECHNOLOGIES CO.
902155,HTC Corporation
7CB15D,HUAWEI TECHNOLOGIES CO.
D8B377,HTC Corporation
B0AA36,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A09347,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
E8BBA8,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
88CF98,HUAWEI TECHNOLOGIES CO.
38F889,HUAWEI TECHNOLOGIES CO.
D07AB5,HUAWEI TECHNOLOGIES CO.
0019C6,zte corporation
B43052,HUAWEI TECHNOLOGIES CO.
80D09B,HUAWEI TECHNOLOGIES CO.
1C8E5C,HUAWEI TECHNOLOGIES CO.
84742A,zte corporation
9CD24B,zte corporation
C87B5B,zte corporation
904E2B,HUAWEI TECHNOLOGIES CO.
2008ED,HUAWEI TECHNOLOGIES CO.
0034FE,HUAWEI TECHNOLOGIES CO.
C85195,HUAWEI TECHNOLOGIES CO.
40CBA8,HUAWEI TECHNOLOGIES CO.
D46E5C,HUAWEI TECHNOLOGIES CO.
8853D4,HUAWEI TECHNOLOGIES CO.
04C06F,HUAWEI TECHNOLOGIES CO.
202BC1,HUAWEI TECHNOLOGIES CO.
54A51B,HUAWEI TECHNOLOGIES CO.
002568,HUAWEI TECHNOLOGIES CO.
781DBA,HUAWEI TECHNOLOGIES CO.
00259E,HUAWEI TECHNOLOGIES CO.
D46AA8,HUAWEI TECHNOLOGIES CO.
B8BC1B,HUAWEI TECHNOLOGIES CO.
582AF7,HUAWEI TECHNOLOGIES CO.
4C8BEF,HUAWEI TECHNOLOGIES CO.
FC48EF,HUAWEI TECHNOLOGIES CO.
707BE8,HUAWEI TECHNOLOGIES CO.
4C1FCC,HUAWEI TECHNOLOGIES CO.
D4B110,HUAWEI TECHNOLOGIES CO.
E468A3,HUAWEI TECHNOLOGIES CO.
3400A3,HUAWEI TECHNOLOGIES CO.
00A040,Apple
68A828,HUAWEI TECHNOLOGIES CO.
BC9C31,HUAWEI TECHNOLOGIES CO.
E4C2D1,HUAWEI TECHNOLOGIES CO.
E8B4C8,Samsung Electronics Co.
D087E2,Samsung Electronics Co.
F05B7B,Samsung Electronics Co.
B047BF,Samsung Electronics Co.
7C0BC6,Samsung Electronics Co.
845B12,HUAWEI TECHNOLOGIES CO.
205531,Samsung Electronics Co.
E02CB2,Lenovo Mobile Communication (Wuhan) Company Limited
E89120,Motorola Mobility LLC
D4F9A1,HUAWEI TECHNOLOGIES CO.
5440AD,Samsung Electronics Co.
804E81,Samsung Electronics Co.
FC8F90,Samsung Electronics Co.
74042B,Lenovo Mobile Communication (Wuhan) Company Limited
4480EB,Motorola Mobility LLC
C4366C,LG Innotek
9CD35B,Samsung Electronics Co.
A89FBA,Samsung Electronics Co.
30D587,Samsung Electronics Co.
D05BA8,zte corporation
6099D1,Vuzix / Lenovo
D437D7,zte corporation
D059E4,Samsung Electronics Co.
14A364,Samsung Electronics Co.
84A783,Alcatel Lucent
68764F,Sony Mobile Communications Inc
CC7B35,zte corporation
